ZipCode,City,MixedCity,StateCode,StateFIPS,County,MixedCounty,CountyFIPS,Latitude,Longitude,GMT,DST
00721,PALMER,Palmer,PR,72,RIO GRANDE,Rio Grande,119,18.3018,-66.08,4,N
00723,PATILLAS,Patillas,PR,72,PATILLAS,Patillas,109,18.025158,-66.010668,4,N
00693,VEGA BAJA,Vega Baja,PR,72,VEGA BAJA,Vega Baja,145,18.420721,-66.403342,4,N
00694,VEGA BAJA,Vega Baja,PR,72,VEGA BAJA,Vega Baja,145,18.4465,-66.3884,4,N
00698,YAUCO,Yauco,PR,72,YAUCO,Yauco,153,18.090875,-66.867756,4,N
00703,AGUAS BUENAS,Aguas Buenas,PR,72,AGUAS BUENAS,Aguas Buenas,007,18.262566,-66.129629,4,N
00704,AGUIRRE,Aguirre,PR,72,SALINAS,Salinas,123,17.980199,-66.218868,4,N
00705,AIBONITO,Aibonito,PR,72,AIBONITO,Aibonito,009,18.135403,-66.260518,4,N
00707,MAUNABO,Maunabo,PR,72,MAUNABO,Maunabo,095,18.012675,-65.915522,4,N
00714,ARROYO,Arroyo,PR,72,ARROYO,Arroyo,015,17.987052,-66.058249,4,N
00715,MERCEDITA,Mercedita,PR,72,PONCE,Ponce,113,18.007113,-66.558109,4,N
00716,PONCE,Ponce,PR,72,PONCE,Ponce,113,17.987655,-66.6236,4,N
00725,CAGUAS,Caguas,PR,72,CAGUAS,Caguas,025,18.205646,-66.034458,4,N
00726,CAGUAS,Caguas,PR,72,CAGUAS,Caguas,025,18.2364,-66.0489,4,N
00727,CAGUAS,Caguas,PR,72,CAGUAS,Caguas,025,18.21671,-66.055275,4,N
00728,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.019233,-66.65337,4,N
00729,CANOVANAS,Canovanas,PR,72,CANOVANAS,Canovanas,029,18.341924,-65.891738,4,N
00730,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.032129,-66.6236,4,N
00731,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.095571,-66.641462,4,N
00732,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.0133,-66.6146,4,N
00733,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.0133,-66.6146,4,N
00734,PONCE,Ponce,PR,72,PONCE,Ponce,113,18.0133,-66.6146,4,N
00735,CEIBA,Ceiba,PR,72,CEIBA,Ceiba,037,18.243581,-65.653972,4,N
00736,CAYEY,Cayey,PR,72,CAYEY,Cayey,035,18.078621,-66.165322,4,N
00737,CAYEY,Cayey,PR,72,CAYEY,Cayey,035,18.1138,-66.1667,4,N
00738,FAJARDO,Fajardo,PR,72,FAJARDO,Fajardo,053,18.30999,-65.653972,4,N
00739,CIDRA,Cidra,PR,72,CIDRA,Cidra,041,18.176915,-66.153424,4,N
00740,PUERTO REAL,Puerto Real,PR,72,FAJARDO,Fajardo,053,18.334943,-65.632193,4,N
00741,PUNTA SANTIAGO,Punta Santiago,PR,72,HUMACAO,Humacao,069,18.16462,-65.766894,4,N
00742,ROOSEVELT ROADS,Roosevelt Roads,PR,72,CEIBA,Ceiba,037,18.2666,-65.6482,4,N
00744,RIO BLANCO,Rio Blanco,PR,72,NAGUABO,Naguabo,103,18.2202,-65.7902,4,N
00745,RIO GRANDE,Rio Grande,PR,72,RIO GRANDE,Rio Grande,119,18.34505,-65.832284,4,N
00751,SALINAS,Salinas,PR,72,SALINAS,Salinas,123,18.002225,-66.260518,4,N
00754,SAN LORENZO,San Lorenzo,PR,72,SAN LORENZO,San Lorenzo,129,18.142369,-65.974986,4,N
00765,VIEQUES,Vieques,PR,72,VIEQUES,Vieques,147,18.126285,-65.440098,4,N
00771,LAS PIEDRAS,Las Piedras,PR,72,LAS PIEDRAS,Las Piedras,085,18.19644,-65.87203,4,N
00772,LOIZA,Loiza,PR,72,LOIZA,Loiza,087,18.419378,-65.910867,4,N
00777,JUNCOS,Juncos,PR,72,JUNCOS,Juncos,077,18.206518,-65.901732,4,N
00757,SANTA ISABEL,Santa Isabel,PR,72,SANTA ISABEL,Santa Isabel,133,17.985792,-66.391439,4,N
00766,VILLALBA,Villalba,PR,72,VILLALBA,Villalba,149,18.13,-66.474329,4,N
00767,YABUCOA,Yabucoa,PR,72,YABUCOA,Yabucoa,151,18.068802,-65.903106,4,N
00769,COAMO,Coamo,PR,72,COAMO,Coamo,043,18.096036,-66.351012,4,N
00773,LUQUILLO,Luquillo,PR,72,LUQUILLO,Luquillo,089,18.338815,-65.720102,4,N
00775,CULEBRA,Culebra,PR,72,CULEBRA,Culebra,049,18.313697,-65.294233,4,N
00791,HUMACAO,Humacao,PR,72,HUMACAO,Humacao,069,18.138009,-65.818996,4,N
00792,HUMACAO,Humacao,PR,72,HUMACAO,Humacao,069,18.1519,-65.8279,4,N
00794,BARRANQUITAS,Barranquitas,PR,72,BARRANQUITAS,Barranquitas,019,18.200791,-66.307012,4,N
00795,JUANA DIAZ,Juana Diaz,PR,72,JUANA DIAZ,Juana Diaz,075,18.017302,-66.493329,4,N
00778,GURABO,Gurabo,PR,72,GURABO,Gurabo,063,18.258919,-65.974639,4,N
00780,COTO LAUREL,Coto Laurel,PR,72,PONCE,Ponce,113,18.071098,-66.562869,4,N
00782,COMERIO,Comerio,PR,72,COMERIO,Comerio,045,18.225014,-66.219798,4,N
00783,COROZAL,Corozal,PR,72,COROZAL,Corozal,047,18.304629,-66.330493,4,N
00784,GUAYAMA,Guayama,PR,72,GUAYAMA,Guayama,057,18.018004,-66.133308,4,N
00785,GUAYAMA,Guayama,PR,72,GUAYAMA,Guayama,057,17.98,-66.1101,4,N
00786,LA PLATA,La Plata,PR,72,AIBONITO,Aibonito,009,18.1564,-66.2336,4,N
00801,ST THOMAS,St Thomas,VI,78,SAINT THOMAS,Saint Thomas,030,18.3436,-64.9314,4,N
00802,ST THOMAS,St Thomas,VI,78,SAINT THOMAS,Saint Thomas,030,18.3436,-64.9322,4,N
00831,ST JOHN,St John,VI,78,SAINT JOHN,Saint John,020,18.3333,-64.7943,4,N
00840,FREDERIKSTED,Frederiksted,VI,78,SAINT CROIX,Saint Croix,010,17.7135,-64.8827,4,N
00841,FREDERIKSTED,Frederiksted,VI,78,SAINT CROIX,Saint Croix,010,17.7147,-64.8818,4,N
00850,KINGSHILL,Kingshill,VI,78,SAINT CROIX,Saint Croix,010,17.77658,-64.82406,4,N
00851,KINGSHILL,Kingshill,VI,78,SAINT CROIX,Saint Croix,010,17.7253,-64.7836,4,N
00901,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4654,-66.104373,4,N
00902,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00906,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.46462,-66.10078,4,N
00911,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.451408,-66.057889,4,N
00912,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.445384,-66.061116,4,N
00913,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.450365,-66.044399,4,N
00914,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00915,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.437208,-66.044602,4,N
00918,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.423656,-66.067402,4,N
00919,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00921,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.390532,-66.08842,4,N
00936,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00937,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00939,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00940,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4108,-66.065,4,N
00949,TOA BAJA,Toa Baja,PR,72,TOA BAJA,Toa Baja,137,18.432704,-66.199115,4,N
00922,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00923,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.41138,-66.033958,4,N
00924,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.400569,-66.00496,4,N
00925,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.403282,-66.047812,4,N
00926,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.34646,-66.062461,4,N
00803,ST THOMAS,St Thomas,VI,78,SAINT THOMAS,Saint Thomas,030,18.3436,-64.9314,4,N
00804,ST THOMAS,St Thomas,VI,78,SAINT THOMAS,Saint Thomas,030,18.3436,-64.9314,4,N
00805,ST THOMAS,St Thomas,VI,78,SAINT THOMAS,Saint Thomas,030,18.3436,-64.9314,4,N
00820,CHRISTIANSTED,Christiansted,VI,78,SAINT CROIX,Saint Croix,010,17.7473,-64.7041,4,N
00821,CHRISTIANSTED,Christiansted,VI,78,SAINT CROIX,Saint Croix,010,17.7488,-64.7039,4,N
00822,CHRISTIANSTED,Christiansted,VI,78,SAINT CROIX,Saint Croix,010,17.7488,-64.7039,4,N
00823,CHRISTIANSTED,Christiansted,VI,78,SAINT CROIX,Saint Croix,010,17.7488,-64.7039,4,N
00824,CHRISTIANSTED,Christiansted,VI,78,SAINT CROIX,Saint Croix,010,17.7488,-64.7039,4,N
00830,ST JOHN,St John,VI,78,SAINT JOHN,Saint John,020,18.334859,-64.791371,4,N
00907,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.451852,-66.084976,4,N
00908,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00909,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.441112,-66.066068,4,N
00910,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.440641,-66.068713,4,N
00916,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00917,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.421194,-66.049352,4,N
00920,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.416061,-66.089552,4,N
00927,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.38759,-66.072006,4,N
00928,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00929,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00930,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4083,-66.0644,4,N
00931,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00933,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00934,FORT BUCHANAN,Fort Buchanan,PR,72,SAN JUAN,San Juan,127,18.412973,-66.119834,4,N
00935,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1061,4,N
00950,TOA BAJA,Toa Baja,PR,72,TOA BAJA,Toa Baja,137,18.447762,-66.173544,4,N
00951,TOA BAJA,Toa Baja,PR,72,TOA BAJA,Toa Baja,137,18.4456,-66.26,4,N
00952,SABANA SECA,Sabana Seca,PR,72,TOA BAJA,Toa Baja,137,18.428378,-66.180376,4,N
00953,TOA ALTA,Toa Alta,PR,72,TOA ALTA,Toa Alta,135,18.357812,-66.258113,4,N
00954,TOA ALTA,Toa Alta,PR,72,TOA ALTA,Toa Alta,135,18.3905,-66.2487,4,N
00955,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4697,-66.1179,4,N
00956,BAYAMON,Bayamon,PR,72,BAYAMON,Bayamon,021,18.323022,-66.172992,4,N
00957,BAYAMON,Bayamon,PR,72,BAYAMON,Bayamon,021,18.36724,-66.185126,4,N
00966,GUAYNABO,Guaynabo,PR,72,GUAYNABO,Guaynabo,061,18.39779,-66.116071,4,N
00968,GUAYNABO,Guaynabo,PR,72,GUAYNABO,Guaynabo,061,18.414026,-66.108363,4,N
00969,GUAYNABO,Guaynabo,PR,72,GUAYNABO,Guaynabo,061,18.330998,-66.112285,4,N
00958,BAYAMON,Bayamon,PR,72,BAYAMON,Bayamon,021,18.4008,-66.1589,4,N
00959,BAYAMON,Bayamon,PR,72,BAYAMON,Bayamon,021,18.392506,-66.158212,4,N
00960,BAYAMON,Bayamon,PR,72,BAYAMON,Bayamon,021,18.1797,-66.1135,4,N
00961,BAYAMON,Bayamon,PR,72,BAYAMON,Bayamon,021,18.413087,-66.161162,4,N
00962,CATANO,Catano,PR,72,CATANO,Catano,033,18.441765,-66.140217,4,N
00963,CATANO,Catano,PR,72,CATANO,Catano,033,18.1103,-66.17,4,N
00965,GUAYNABO,Guaynabo,PR,72,GUAYNABO,Guaynabo,061,18.430034,-66.119902,4,N
00970,GUAYNABO,Guaynabo,PR,72,GUAYNABO,Guaynabo,061,18.3864,-66.1143,4,N
00971,GUAYNABO,Guaynabo,PR,72,GUAYNABO,Guaynabo,061,18.330223,-66.114506,4,N
00975,SAN JUAN,San Juan,PR,72,SAN JUAN,San Juan,127,18.4683,-66.1064,4,N
00976,TRUJILLO ALTO,Trujillo Alto,PR,72,TRUJILLO ALTO,Trujillo Alto,139,18.337034,-65.990043,4,N
00977,TRUJILLO ALTO,Trujillo Alto,PR,72,TRUJILLO ALTO,Trujillo Alto,139,18.3569,-66.0076,4,N
00978,SAINT JUST,Saint Just,PR,72,TRUJILLO ALTO,Trujillo Alto,139,18.3703,-66.0123,4,N
00979,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.438381,-66.011814,4,N
00981,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.4683,-66.1064,4,N
00982,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.409908,-65.997644,4,N
00983,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.415614,-65.977729,4,N
00984,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.3828,-65.9578,4,N
01605,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.288915,-71.79578,5,Y
01606,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.313314,-71.796346,5,Y
01607,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.225438,-71.78724,5,Y
01608,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.258592,-71.803034,5,Y
01609,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.28755,-71.83067,5,Y
01610,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.242612,-71.810432,5,Y
01611,CHERRY VALLEY,Cherry Valley,MA,25,WORCESTER,Worcester,027,42.235219,-71.876892,5,Y
01612,PAXTON,Paxton,MA,25,WORCESTER,Worcester,027,42.315184,-71.934535,5,Y
01613,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.2627,-71.8028,5,Y
01614,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.2627,-71.8028,5,Y
01615,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.2627,-71.8028,5,Y
01653,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.2627,-71.8028,5,Y
01654,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.2627,-71.8028,5,Y
01655,WORCESTER,Worcester,MA,25,WORCESTER,Worcester,027,42.2627,-71.8028,5,Y
01701,FRAMINGHAM,Framingham,MA,25,MIDDLESEX,Middlesex,017,42.323168,-71.435188,5,Y
01702,FRAMINGHAM,Framingham,MA,25,MIDDLESEX,Middlesex,017,42.278748,-71.443616,5,Y
01703,FRAMINGHAM,Framingham,MA,25,MIDDLESEX,Middlesex,017,42.3026,-71.4236,5,Y
01704,FRAMINGHAM,Framingham,MA,25,MIDDLESEX,Middlesex,017,42.3026,-71.4236,5,Y
01705,FRAMINGHAM,Framingham,MA,25,MIDDLESEX,Middlesex,017,42.3026,-71.4236,5,Y
01718,VILLAGE OF NAGOG WOODS,Village Of Nagog Woods,MA,25,MIDDLESEX,Middlesex,017,42.519469,-71.428982,5,Y
01719,BOXBOROUGH,Boxborough,MA,25,MIDDLESEX,Middlesex,017,42.491359,-71.517726,5,Y
01720,ACTON,Acton,MA,25,MIDDLESEX,Middlesex,017,42.484174,-71.439501,5,Y
01721,ASHLAND,Ashland,MA,25,MIDDLESEX,Middlesex,017,42.25939,-71.468254,5,Y
01730,BEDFORD,Bedford,MA,25,MIDDLESEX,Middlesex,017,42.49988,-71.275308,5,Y
01731,HANSCOM AFB,Hanscom AFB,MA,25,MIDDLESEX,Middlesex,017,42.463052,-71.285098,5,Y
01740,BOLTON,Bolton,MA,25,WORCESTER,Worcester,027,42.438164,-71.60489,5,Y
01741,CARLISLE,Carlisle,MA,25,MIDDLESEX,Middlesex,017,42.53213,-71.352461,5,Y
01742,CONCORD,Concord,MA,25,MIDDLESEX,Middlesex,017,42.460612,-71.364231,5,Y
01745,FAYVILLE,Fayville,MA,25,WORCESTER,Worcester,027,42.291501,-71.500158,5,Y
01746,HOLLISTON,Holliston,MA,25,MIDDLESEX,Middlesex,017,42.197434,-71.441187,5,Y
01747,HOPEDALE,Hopedale,MA,25,WORCESTER,Worcester,027,42.127,-71.535778,5,Y
01748,HOPKINTON,Hopkinton,MA,25,MIDDLESEX,Middlesex,017,42.226648,-71.531466,5,Y
01749,HUDSON,Hudson,MA,25,MIDDLESEX,Middlesex,017,42.389119,-71.538802,5,Y
01752,MARLBOROUGH,Marlborough,MA,25,MIDDLESEX,Middlesex,017,42.345921,-71.550943,5,Y
01754,MAYNARD,Maynard,MA,25,MIDDLESEX,Middlesex,017,42.428493,-71.45771,5,Y
01756,MENDON,Mendon,MA,25,WORCESTER,Worcester,027,42.103812,-71.544618,5,Y
01757,MILFORD,Milford,MA,25,WORCESTER,Worcester,027,42.153808,-71.52576,5,Y
01760,NATICK,Natick,MA,25,MIDDLESEX,Middlesex,017,42.28715,-71.352332,5,Y
01770,SHERBORN,Sherborn,MA,25,MIDDLESEX,Middlesex,017,42.231344,-71.374631,5,Y
01772,SOUTHBOROUGH,Southborough,MA,25,WORCESTER,Worcester,027,42.296533,-71.535209,5,Y
01773,LINCOLN,Lincoln,MA,25,MIDDLESEX,Middlesex,017,42.427159,-71.312442,5,Y
01775,STOW,Stow,MA,25,MIDDLESEX,Middlesex,017,42.429867,-71.503594,5,Y
01776,SUDBURY,Sudbury,MA,25,MIDDLESEX,Middlesex,017,42.388828,-71.42304,5,Y
01778,WAYLAND,Wayland,MA,25,MIDDLESEX,Middlesex,017,42.36119,-71.362933,5,Y
01784,WOODVILLE,Woodville,MA,25,MIDDLESEX,Middlesex,017,42.2376,-71.5627,5,Y
01801,WOBURN,Woburn,MA,25,MIDDLESEX,Middlesex,017,42.489526,-71.158884,5,Y
01803,BURLINGTON,Burlington,MA,25,MIDDLESEX,Middlesex,017,42.505988,-71.204536,5,Y
01805,BURLINGTON,Burlington,MA,25,MIDDLESEX,Middlesex,017,42.5044,-71.1964,5,Y
01807,WOBURN,Woburn,MA,25,MIDDLESEX,Middlesex,017,42.4793,-71.1526,5,Y
01810,ANDOVER,Andover,MA,25,ESSEX,Essex,009,42.649578,-71.166028,5,Y
01812,ANDOVER,Andover,MA,25,ESSEX,Essex,009,42.6585,-71.1377,5,Y
01813,WOBURN,Woburn,MA,25,MIDDLESEX,Middlesex,017,42.4793,-71.1526,5,Y
01815,WOBURN,Woburn,MA,25,MIDDLESEX,Middlesex,017,42.4793,-71.1526,5,Y
01821,BILLERICA,Billerica,MA,25,MIDDLESEX,Middlesex,017,42.549069,-71.25588,5,Y
01822,BILLERICA,Billerica,MA,25,MIDDLESEX,Middlesex,017,42.5586,-71.2695,5,Y
01824,CHELMSFORD,Chelmsford,MA,25,MIDDLESEX,Middlesex,017,42.587771,-71.35176,5,Y
01826,DRACUT,Dracut,MA,25,MIDDLESEX,Middlesex,017,42.69256,-71.309028,5,Y
01827,DUNSTABLE,Dunstable,MA,25,MIDDLESEX,Middlesex,017,42.673198,-71.502242,5,Y
01830,HAVERHILL,Haverhill,MA,25,ESSEX,Essex,009,42.79519,-71.05563,5,Y
01831,HAVERHILL,Haverhill,MA,25,ESSEX,Essex,009,42.7763,-71.0778,5,Y
01832,HAVERHILL,Haverhill,MA,25,ESSEX,Essex,009,42.791176,-71.129295,5,Y
00985,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.406221,-65.943942,4,N
00986,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.3828,-65.9578,4,N
00987,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.331133,-65.950318,4,N
00988,CAROLINA,Carolina,PR,72,CAROLINA,Carolina,031,18.3828,-65.9578,4,N
01001,AGAWAM,Agawam,MA,25,HAMPDEN,Hampden,013,42.065842,-72.620948,5,Y
01002,AMHERST,Amherst,MA,25,HAMPSHIRE,Hampshire,015,42.372901,-72.450902,5,Y
01003,AMHERST,Amherst,MA,25,HAMPSHIRE,Hampshire,015,42.39115,-72.524316,5,Y
01004,AMHERST,Amherst,MA,25,HAMPSHIRE,Hampshire,015,42.3736,-72.5209,5,Y
01005,BARRE,Barre,MA,25,WORCESTER,Worcester,027,42.420844,-72.10623,5,Y
01007,BELCHERTOWN,Belchertown,MA,25,HAMPSHIRE,Hampshire,015,42.274798,-72.401922,5,Y
01008,BLANDFORD,Blandford,MA,25,HAMPDEN,Hampden,013,42.186964,-72.956111,5,Y
01009,BONDSVILLE,Bondsville,MA,25,HAMPDEN,Hampden,013,42.2075,-72.3496,5,Y
01010,BRIMFIELD,Brimfield,MA,25,HAMPDEN,Hampden,013,42.126637,-72.204617,5,Y
01011,CHESTER,Chester,MA,25,HAMPDEN,Hampden,013,42.268566,-72.980845,5,Y
01012,CHESTERFIELD,Chesterfield,MA,25,HAMPSHIRE,Hampshire,015,42.365393,-72.819914,5,Y
